,word1,word2,Similarity Score,Ground Truth similarity score,Label
0,मोहब्बत,मोहब्बत,0.45561206,6.8,0
1,बाघ,बाघ,0.6995613,7.0,1
2,किताब,किताब,0.6167409,7.6,1
3,कंप्यूटर,कंप्यूटर,0.73875624,7.6,1
4,कंप्यूटर,कंप्यूटर,0.8132941,8.0,1
5,विमान,विमान,0.73176724,6.0,1
6,रेलगाड़ी,रेलगाड़ी,0.7450867,6.2,1
7,टेलीफोन,टेलीफोन,0.6053941,7.6,1
8,टेलीविजन,टेलीविजन,0.83315593,6.4,1
9,मीडिया,मीडिया,0.6608158,5.8,1
10,ब्रेड,ब्रेड,0.78365487,6.6,1
11,खीरा,खीरा,0.8782093,5.8,1
12,चिकित्सक,चिकित्सक,0.7488391,7.6,1
13,प्रोफ़ेसर,प्रोफ़ेसर,0.57492864,4.6,1
14,छात्र,छात्र,0.55324584,7.0,1
15,होशियार,होशियार,0.50354654,5.2,1
16,होशियार,होशियार,0.6357783,6.2,1
17,किताब,किताब,0.5051688,7.6,1
18,बैंक,बैंक,0.6151034,8.0,1
19,लकड़ी,लकड़ी,0.61856735,7.0,1
20,प्रोफ़ेसर,प्रोफ़ेसर,0.075841166,0.0,1
21,राजा,राजा,0.7287682,8.2,1
22,बिशप,बिशप,0.057805825,7.0,0
23,यरूशलेम,यरूशलेम,0.59061766,7.8,1
24,पवित्र,पवित्र,0.2598041,1.0,0
25,माराडोना,माराडोना,0.8157988,7.8,1
26,फ़ुटबॉल,फ़ुटबॉल,0.8859202,9.0,1
27,फ़ुटबॉल,फ़ुटबॉल,0.75522697,6.4,1
28,फ़ुटबॉल,फ़ुटबॉल,0.8141265,5.8,1
29,टेनिस,टेनिस,0.5473047,7.4,1
30,कानून,कानून,0.58147895,7.8,1
31,चलचित्र,चलचित्र,0.3776335,6.6,0
32,चलचित्र,चलचित्र,0.4107887,6.6,0
33,चलचित्र,चलचित्र,0.6051636,8.4,1
34,पीना,पीना,0.271561,1.4,0
35,पीना,पीना,0.46984482,0.4,1
36,पीना,पीना,0.52868265,7.0,1
37,बच्चा,बच्चा,0.6127401,7.2,1
38,पीना,पीना,0.38894087,1.8,0
39,मणि,मणि,0.41626495,6.8,0
40,भट्ठी,भट्ठी,0.78596807,8.4,1
41,भोजन,भोजन,0.7075401,6.6,1
42,पक्षी,पक्षी,0.89901674,7.4,1
43,भाई,भाई,0.44862333,1.4,0
44,यात्रा,यात्रा,0.5377228,6.2,1
45,साधु,साधु,0.3432704,0.2,1
46,कांच,कांच,0.45567104,2.0,0
47,पैसे,पैसे,0.56514233,8.6,1
48,पैसे,पैसे,0.7155185,9.2,1
49,पैसे,पैसे,0.64208907,8.4,1
50,पैसे,पैसे,0.6151034,8.2,1
51,पैसे,पैसे,0.62183577,6.6,1
52,पैसे,पैसे,0.383707,2.6,0
53,बाघ,बाघ,0.49502584,8.0,0
54,बाघ,बाघ,0.7793151,7.6,1
55,बाघ,बाघ,0.7320682,6.8,1
56,मनोविज्ञान,मनोविज्ञान,0.42062163,6.2,0
57,मनोविज्ञान,मनोविज्ञान,0.28740525,5.2,0
58,मनोविज्ञान,मनोविज्ञान,0.5141924,7.0,1
59,मनोविज्ञान,मनोविज्ञान,0.51818794,6.4,1
60,मनोविज्ञान,मनोविज्ञान,0.6005289,7.0,1
61,मनोविज्ञान,मनोविज्ञान,0.4590188,7.4,0
62,मनोविज्ञान,मनोविज्ञान,0.5584522,6.2,1
63,मनोविज्ञान,मनोविज्ञान,0.83484167,7.0,1
64,मनोविज्ञान,मनोविज्ञान,0.6813349,4.2,1
