,word1,word2,Similarity Score,Ground Truth similarity score,Label
0,मोहब्बत,मोहब्बत,0.3371399,6.8,0
1,बाघ,बाघ,0.64748734,7.0,0
2,किताब,किताब,0.53391904,7.6,0
3,कंप्यूटर,कंप्यूटर,0.69081134,7.6,0
4,कंप्यूटर,कंप्यूटर,0.71163595,8.0,0
5,विमान,विमान,0.6274394,6.0,0
6,रेलगाड़ी,रेलगाड़ी,0.6108959,6.2,0
7,टेलीफोन,टेलीफोन,0.58057606,7.6,0
8,टेलीविजन,टेलीविजन,0.75800186,6.4,0
9,मीडिया,मीडिया,0.530677,5.8,0
10,ब्रेड,ब्रेड,0.7221523,6.6,0
11,खीरा,खीरा,0.8323273,5.8,0
12,चिकित्सक,चिकित्सक,0.7003461,7.6,0
13,प्रोफ़ेसर,प्रोफ़ेसर,0.54509753,4.6,0
14,छात्र,छात्र,0.5060731,7.0,0
15,होशियार,होशियार,0.38151282,5.2,0
16,होशियार,होशियार,0.59304893,6.2,0
17,किताब,किताब,0.47038493,7.6,0
18,बैंक,बैंक,0.4910288,8.0,0
19,लकड़ी,लकड़ी,0.546652,7.0,0
20,प्रोफ़ेसर,प्रोफ़ेसर,0.12081575,0.0,1
21,राजा,राजा,0.7052775,8.2,0
22,बिशप,बिशप,0.1468435,7.0,0
23,यरूशलेम,यरूशलेम,0.5267122,7.8,0
24,पवित्र,पवित्र,0.26205984,1.0,0
25,माराडोना,माराडोना,0.6902351,7.8,0
26,फ़ुटबॉल,फ़ुटबॉल,0.8435311,9.0,0
27,फ़ुटबॉल,फ़ुटबॉल,0.7390758,6.4,0
28,फ़ुटबॉल,फ़ुटबॉल,0.7513461,5.8,0
29,टेनिस,टेनिस,0.5263865,7.4,0
30,कानून,कानून,0.49356204,7.8,0
31,चलचित्र,चलचित्र,0.40970713,6.6,0
32,चलचित्र,चलचित्र,0.2997213,6.6,0
33,चलचित्र,चलचित्र,0.50014335,8.4,0
34,पीना,पीना,0.31831846,1.4,0
35,पीना,पीना,0.33919185,0.4,1
36,पीना,पीना,0.41370308,7.0,0
37,बच्चा,बच्चा,0.55111915,7.2,0
38,पीना,पीना,0.27913028,1.8,0
39,मणि,मणि,0.40181237,6.8,0
40,भट्ठी,भट्ठी,0.70228183,8.4,0
41,भोजन,भोजन,0.59810483,6.6,0
42,पक्षी,पक्षी,0.85350084,7.4,0
43,भाई,भाई,0.2832368,1.4,0
44,यात्रा,यात्रा,0.41976368,6.2,0
45,साधु,साधु,0.2477139,0.2,1
46,कांच,कांच,0.36818293,2.0,0
47,पैसे,पैसे,0.41502482,8.6,0
48,पैसे,पैसे,0.587089,9.2,0
49,पैसे,पैसे,0.5078941,8.4,0
50,पैसे,पैसे,0.4910288,8.2,0
51,पैसे,पैसे,0.48238224,6.6,0
52,पैसे,पैसे,0.3388591,2.6,0
53,बाघ,बाघ,0.4780786,8.0,0
54,बाघ,बाघ,0.7225028,7.6,0
55,बाघ,बाघ,0.7051327,6.8,0
56,मनोविज्ञान,मनोविज्ञान,0.34812647,6.2,0
57,मनोविज्ञान,मनोविज्ञान,0.20202544,5.2,0
58,मनोविज्ञान,मनोविज्ञान,0.4415682,7.0,0
59,मनोविज्ञान,मनोविज्ञान,0.46497455,6.4,0
60,मनोविज्ञान,मनोविज्ञान,0.52374995,7.0,0
61,मनोविज्ञान,मनोविज्ञान,0.3905772,7.4,0
62,मनोविज्ञान,मनोविज्ञान,0.52339727,6.2,0
63,मनोविज्ञान,मनोविज्ञान,0.80768627,7.0,0
64,मनोविज्ञान,मनोविज्ञान,0.52437556,4.2,0
