,word1,word2,Similarity Score,Ground Truth similarity score,Label
0,मोहब्बत,मोहब्बत,0.34801455537752746,6.8,0
1,बाघ,बाघ,0.5456492759773398,7.0,0
2,किताब,किताब,0.5772483683253553,7.6,0
3,कंप्यूटर,कंप्यूटर,0.5557799396620199,7.6,0
4,कंप्यूटर,कंप्यूटर,0.6982660767421116,8.0,0
5,विमान,विमान,0.6010701311512702,6.0,0
6,रेलगाड़ी,रेलगाड़ी,0.5693607316364024,6.2,0
7,टेलीफोन,टेलीफोन,0.5599376998623902,7.6,0
8,टेलीविजन,टेलीविजन,0.6654107970125887,6.4,0
9,मीडिया,मीडिया,0.5226255659627412,5.8,0
10,ब्रेड,ब्रेड,0.6223899680544391,6.6,0
11,खीरा,खीरा,0.5697427985003493,5.8,0
12,चिकित्सक,चिकित्सक,0.6946243071744398,7.6,0
13,प्रोफ़ेसर,प्रोफ़ेसर,0.423055893992357,4.6,0
14,छात्र,छात्र,0.48286314706502853,7.0,0
15,होशियार,होशियार,0.389516370742418,5.2,0
16,होशियार,होशियार,0.5703295367051461,6.2,0
17,किताब,किताब,0.44636675212116744,7.6,0
18,बैंक,बैंक,0.5727216587830005,8.0,0
19,लकड़ी,लकड़ी,0.5661059346265409,7.0,0
20,प्रोफ़ेसर,प्रोफ़ेसर,-0.0918040555717208,0.0,1
21,राजा,राजा,0.6560090132816447,8.2,0
22,बिशप,बिशप,0.07509658694115694,7.0,0
23,यरूशलेम,यरूशलेम,0.44835385932028166,7.8,0
24,पवित्र,पवित्र,0.3076158648935881,1.0,0
25,माराडोना,माराडोना,0.4155328426164094,7.8,0
26,फ़ुटबॉल,फ़ुटबॉल,0.6615199562626907,9.0,0
27,फ़ुटबॉल,फ़ुटबॉल,0.46500581406794916,6.4,0
28,फ़ुटबॉल,फ़ुटबॉल,0.5496612360726071,5.8,0
29,टेनिस,टेनिस,0.43629184636220947,7.4,0
30,कानून,कानून,0.5814512758280364,7.8,0
31,चलचित्र,चलचित्र,0.28328028241596803,6.6,0
32,चलचित्र,चलचित्र,0.24103499418425894,6.6,0
33,चलचित्र,चलचित्र,0.3292842052103669,8.4,0
34,पीना,पीना,0.24717386074878145,1.4,0
35,पीना,पीना,0.2940760044602511,0.4,1
36,पीना,पीना,0.48279057685925186,7.0,0
37,बच्चा,बच्चा,0.6594818106262839,7.2,0
38,पीना,पीना,0.3177725125204076,1.8,0
39,मणि,मणि,0.2945953189950713,6.8,0
40,भट्ठी,भट्ठी,0.4847415327495833,8.4,0
41,भोजन,भोजन,0.6671038705738208,6.6,0
42,पक्षी,पक्षी,0.6895947970503131,7.4,0
43,भाई,भाई,0.3979345076266249,1.4,0
44,यात्रा,यात्रा,0.504565004630532,6.2,0
45,साधु,साधु,0.2054245560257943,0.2,1
46,कांच,कांच,0.22292475963852806,2.0,0
47,पैसे,पैसे,0.49579735185252144,8.6,0
48,पैसे,पैसे,0.7046532768580912,9.2,1
49,पैसे,पैसे,0.6021394869574789,8.4,0
50,पैसे,पैसे,0.5727216587830005,8.2,0
51,पैसे,पैसे,0.6297255991860761,6.6,0
52,पैसे,पैसे,0.34406117573578393,2.6,0
53,बाघ,बाघ,0.27995894769002555,8.0,0
54,बाघ,बाघ,0.7211980220734991,7.6,1
55,बाघ,बाघ,0.5449349661662158,6.8,0
56,मनोविज्ञान,मनोविज्ञान,0.3234600471145072,6.2,0
57,मनोविज्ञान,मनोविज्ञान,0.249506540131516,5.2,0
58,मनोविज्ञान,मनोविज्ञान,0.3333206888498893,7.0,0
59,मनोविज्ञान,मनोविज्ञान,0.3333352263291816,6.4,0
60,मनोविज्ञान,मनोविज्ञान,0.488069054726261,7.0,0
61,मनोविज्ञान,मनोविज्ञान,0.3659041887504645,7.4,0
62,मनोविज्ञान,मनोविज्ञान,0.5156012645099256,6.2,0
63,मनोविज्ञान,मनोविज्ञान,0.7450683205393637,7.0,1
64,मनोविज्ञान,मनोविज्ञान,0.5041249928481308,4.2,0
